sample	amglyccycl	arylpolyene	bacteriocin	blactam	butyrolactone	cyanobactin	ectoine	fused	head_to_tail	hserlactone	indole	ladderane	lantipeptide	lassopeptide	microviridin	nrps	oligosaccharide	other	otherks	phenazine	phosphonate	proteusin	PUFA	resorcinol	sactipeptide	siderophore	t1pks	t2pks	t3pks	terpene	thiopeptide	transatpks
sim_meta-15	0	44.2432329	70.660463	0	0	1.19969	7.81642	0	0	23.876586	1.3213	2.33706	10.055893	15.189516	2.27749	53.015751	0	19.475418	8.594442	0	1.321043	0	4.407531	5.5279399	0	9.883443	21.169429	1.33386	13.69455	74.148501	0	0
sim_meta-150	0	32.15157	62.986176	0	0	0	3.33695	0	0	23.685051	0	0	6.739	4.0587	0	82.797477	0	1.8473	8.82127	0	4.40604	0	8.82127	3.97651	0	5.46442	15.320912	0	17.01741	86.04398	0	0
sim_meta-16	0	22.14187	63.213036	1.58692	1.33285	0.305954	25.898683	0	0	10.31916	1.44543	3.416611	33.567618	14.702218	0	95.753289	0	38.663399	4.72602	5.72034	1.61079	0	0	4.856026	0	9.75216	55.385425	1.58439	24.187832	116.020059	0	0.447613
sim_meta-17	0	12.28252	106.857686	0	8.016393	7.91917	43.07622	0	0	22.255147	1.1733	5.69268	23.688858	30.979275	2.5627	109.315831	0	50.889449	2.146529	0	3.05866	0	0	0	0.721936	15.862886	67.297879	0	16.5904	103.510417	0	3.95457
sim_meta-18	0	29.131157	105.856188	0	1.781331	4.157498	20.338997	0	0	22.424411	0.521885	1.16315	11.479652	15.610476	0.281688	73.915809	0	15.117565	17.591994	3.96977	4.56939	0.359785	12.59988	12.915638	0	23.0707835	40.214715	1.16315	22.508168	103.545139	0	1.30076
sim_meta-19	1.40588	37.08758	85.9673	0	1.24725	0	28.12006	0	0	36.386355	8.56983	0	19.07279	9.10688	0	169.19684	0	39.61997	5.96508	0	0	0	4.5592	0	0	21.45283	80.128723	2.74043	10.51594	83.581303	0	16.59892
sim_meta-2	8.43548	42.73825	57.549848	0	7.87089	0.277782	11.70127	8.48886	0	6.465683	0	0.196774	42.6637	11.936736	0	133.569443	0	19.65155	10.99103	0	0	0	3.98424	15.53576	2.78979	14.859788	58.956653	16.96605	31.22201	79.644885	8.77655	32.93176
sim_meta-20	3.61142	30.626812	97.303646	0	4.50123	2.858275	25.175573	3.06226	0	28.356881	7.413495	5.215529	45.057058	8.919935	0.799462	146.824101	2.425	38.104522	13.784198	0	2.891046	0	6.496027	11.22414	0	23.307488	91.915892	6.62494	27.501853	109.339447	3.884007	3.423792
sim_meta-21	2.12573	29.206077	136.570922	0	4.24729	1.820336	23.3347	0	0	27.745643	0.879813	3.296593	30.612711	15.542714	1.496025	80.706793	0	25.63098	8.463909	2.34372	1.23966	3.92049	1.08389	7.243022	0.211272	14.716455	34.860964	2.898862	15.715038	104.8979027	0	2.14714
sim_meta-22	0.905393	32.070232	110.677512	0	0.762438	1.34368	13.249853	0	0	1.858763	0	0.976485	5.698232	6.73988	0	58.872142	0	44.790372	11.225337	0	1.70753	0	9.37896	11.981744	0.582756	9.739901	34.539461	2.04636	26.655446	91.044871	1.24062	0
