sample	amglyccycl	arylpolyene	bacteriocin	blactam	butyrolactone	cyanobactin	ectoine	hserlactone	indole	ladderane	lantipeptide	lassopeptide	linaridin	melanin	microviridin	nrps	nucleoside	oligosaccharide	other	otherks	phenazine	phosphonate	proteusin	PUFA	resorcinol	sactipeptide	siderophore	t1pks	t2pks	t3pks	terpene	thiopeptide	transatpks
sim_meta-8	0	37.555989	39.793004	0	0	1.02283	13.29106	48.799467	0	1.71646	9.339221	7.20677	1.917915	0	0	75.654759	0	0	39.379556	7.04367	0	0	0.313779	0	10.643	0	19.894772	30.569155	7.30283	15.120141	105.251933	7.23811	0
sim_meta-80	0	24.395936	151.260524	0	5.13614	0	10.015286	22.2096976	1.44252	0	31.62066	14.117509	1.17966	0	0.920396	158.547744	1.928915	2.96744	33.724104	10.761351	0	6.84327	0	0	4.07613	0	24.4188915	68.355821	0	29.153606	113.411506	9.600849	5.99449
sim_meta-81	2.49905	37.49208	119.817145	1.76278	2.76863	0	7.87707	23.665019	11.09176	6.77001	40.28834	28.38497	6.981241	0	3.1401	140.573071	2.13801	2.78416	33.802317	13.40484	0	2.20197	0	0	11.03207	0	17.27075	84.033761	10.5643	36.281248	125.064703	2.70392	0
sim_meta-82	0	38.938499	70.905566	0	0	0	11.46039	15.6745	3.70356	0	53.57365	10.685472	0	0	0	52.322422	6.38433	0	33.753805	23.769868	0	3.92436	0	0	17.37754	0	27.018968	72.835202	13.410022	36.982498	155.495256	0	8.6205
sim_meta-83	0	38.81157	119.8989	0	1.25193	0	18.7816	17.17976	0	8.71193	10.09852	0	1.51357	0	0	33.6094	0	0	16.184001	0	0	3.2682	0	0	0	0	5.382904	11.51746	0	5.86788	56.599743	0	0
sim_meta-84	1.27329	24.59873	119.749352	0	1.4409	0.921563	15.472929	37.629959	0	3.41695	33.415522	6.746959	1.697521	1.277	2.977219	107.146171	0	0.943815	52.183376	17.001352	4.72097	7.9319	4.45209	0	9.71046	0	18.076205	59.354547	1.66048	29.572974	101.24984	4.667216	8.68271
sim_meta-85	4.83776	21.32576	63.365591	1.50993	2.34082	0.864228	10.859935	29.5947686	1.49393	6.36863	33.725203	13.900999	0	5.13446	3.802976	88.747564	0	4.09433	41.95593	14.908557	0.978441	3.36175	0	1.99425	3.522869	0	35.938795	45.748398	5.5291	23.558236	111.904402	5.88875	3.444696
sim_meta-86	0	33.516825	84.278603	1.2282	4.445414	0	7.631028	41.701908	1.16712	5.264394	25.285841	2.737526	2.0002	0	5.713206	101.129251	0	0	37.278912	18.0799	1.50806	1.6228	0.921748	0	11.49765	0	31.6579	59.220103	3.10388	28.627243	104.470644	9.06917	4.147964
sim_meta-87	0	42.88433	96.694066	0	0	0	19.96488	10.80965	0	0	13.92841	12.97873	0	0	0	52.291984	9.47741	0	21.40411	0.459059	0	2.12673	0	0	0	0	29.874412	20.855	0	27.17133	142.681014	0	0
sim_meta-88	4.07482	19.574048	94.4466364	0	2.24704	0	9.191682	18.949384	0	4.65167749	27.4807863	5.237677	0	3.99566	2.2397	126.737115	0	0	49.335557	15.70628	2.39289	4.17145	0	0	6.94372	3.78411	24.317663	61.382797	2.03097	21.634312	80.222428	8.09657	6.26193
